1,"canModifyKernelModulesAndExtensions(attacker,victimHost)","OR",0
2,"RULE 1 (Asset - Able to modify kernel modules and extensions)","AND",0
3,"kernelModulesAndExtensions(attacker,victimHost)","OR",0
4,"RULE 3 (T1547.006 - Boot or Logon Autostart Execution - Kernel Modules and Extensions)","AND",0
5,"isKernelModuleUtil(insmod)","LEAF",1
6,"canRunInstalledSoftware(attacker,victimHost,'/bin/insmod',insmod)","OR",0
7,"RULE 85 (BB - User is able to run installed software)","AND",0
8,"accessFile(attacker,victimHost,exec,'/bin/insmod')","OR",0
9,"RULE 100 (BB - execCode implies file access)","AND",0
10,"canAccessFile(victimHost,_,exec,'/bin/insmod')","OR",0
11,"RULE 102 (BB - A legitimate account can access file)","AND",0
12,"localFileProtection(victimHost,_,exec,'/bin/insmod')","OR",0
13,"RULE 105 (BB - world file access)","AND",0
14,"worldAccessible(victimHost,exec,'/bin/insmod')","OR",0
15,"RULE 114 (BB - world file access)","AND",0
16,"fileAttr(victimHost,'/bin/insmod',-,r,w,x,-,-,-,r,w,x)","LEAF",1
17,"execCode(attacker,victimHost,_)","OR",0
18,"RULE 86 (BB - User is able to use a reverse shell)","AND",0
19,"canAccessFile(victimHost,_,exec,'/bin')","OR",0
20,"RULE 102 (BB - A legitimate account can access file)","AND",0
21,"localFileProtection(victimHost,_,exec,'/bin')","OR",0
22,"RULE 105 (BB - world file access)","AND",0
23,"worldAccessible(victimHost,exec,'/bin')","OR",0
24,"RULE 114 (BB - world file access)","AND",0
25,"fileAttr(victimHost,'/bin',d,r,w,x,r,-,x,r,-,x)","LEAF",1
26,"accessDataFlow(attacker,write,reversePupy)","OR",0
27,"RULE 87 (BB - The remote root user has write access to the dataFlow)","AND",0
28,"dataFlowReverseShell(reversePupy)","OR",0
29,"RULE 88 (BB - Reverse shell data flow)","AND",0
30,"isReverseShell(victimHost,pupyC2Server,'/home/victimAccount/3aka3.doc')","LEAF",1
31,"flowBind(reversePupy,http,1234)","OR",0
32,"RULE 91 (BB - Flow associated port and protocol)","AND",0
33,"canScriptAccessHost(victimHost,pupyC2Server,'/home/victimAccount/3aka3.doc',reversePupy,http,1234)","OR",0
34,"RULE 93 (BB - Script access an exposed service)","AND",0
35,"networkServiceInfo(pupyC2Server,root,pupyd,http,1234)","LEAF",1
36,"accessFile(victimUser,victimHost,exec,'/home/victimAccount/3aka3.doc')","OR",0
37,"RULE 100 (BB - execCode implies file access)","AND",0
38,"canAccessFile(victimHost,victimAccount,exec,'/home/victimAccount/3aka3.doc')","OR",0
39,"RULE 102 (BB - A legitimate account can access file)","AND",0
40,"localFileProtection(victimHost,victimAccount,exec,'/home/victimAccount/3aka3.doc')","OR",0
41,"RULE 103 (BB - owner file access)","AND",0
42,"ownerAccessible(victimHost,exec,'/home/victimAccount/3aka3.doc')","OR",0
43,"RULE 112 (BB - owner file access)","AND",0
44,"fileAttr(victimHost,'/home/victimAccount/3aka3.doc',-,r,w,x,-,-,-,-,-,-)","LEAF",1
45,"fileOwner(victimHost,victimAccount,'/home/victimAccount/3aka3.doc')","LEAF",1
46,"execCode(victimUser,victimHost,victimAccount)","OR",0
47,"RULE 101 (BB - A User can execute code using his account on a specific host)","AND",0
48,"hasAccount(victimUser,victimHost,victimAccount)","LEAF",1
49,"scriptNetAccess(victimHost,pupyC2Server,'/home/victimAccount/3aka3.doc',reversePupy,http,1234)","OR",0
50,"RULE 94 (BB - Direct script network access - Existing Script)","AND",0
51,"isNetScript(victimHost,pupyC2Server,reversePupy,http,1234,pupyPayload)","LEAF",1
52,"dataBind(victimHost,'/home/victimAccount/3aka3.doc',pupyPayload)","LEAF",1
53,"aclNW(victimHost,pupyC2Server,http,1234)","LEAF",1
54,"dataFlow(victimHost,pupyC2Server,reversePupy,_)","OR",0
55,"RULE 92 (BB - Data flow initiated by script)","AND",0
56,"localAccess(attacker,pupyC2Server,root)","OR",0
57,"RULE 120 (BB - An user who is located in a host has root access to that host)","AND",0
58,"located(attacker,pupyC2Server)","LEAF",1
59,"RULE 86 (BB - User is able to use a reverse shell)","AND",0
60,"canAccessFile(victimHost,_,exec,'/bin/cat')","OR",0
61,"RULE 102 (BB - A legitimate account can access file)","AND",0
62,"localFileProtection(victimHost,_,exec,'/bin/cat')","OR",0
63,"RULE 105 (BB - world file access)","AND",0
64,"worldAccessible(victimHost,exec,'/bin/cat')","OR",0
65,"RULE 114 (BB - world file access)","AND",0
66,"fileAttr(victimHost,'/bin/cat',-,r,w,x,-,-,-,r,w,x)","LEAF",1
67,"RULE 86 (BB - User is able to use a reverse shell)","AND",0
68,"canAccessFile(victimHost,_,exec,'/bin/certutil')","OR",0
69,"RULE 102 (BB - A legitimate account can access file)","AND",0
70,"localFileProtection(victimHost,_,exec,'/bin/certutil')","OR",0
71,"RULE 105 (BB - world file access)","AND",0
72,"worldAccessible(victimHost,exec,'/bin/certutil')","OR",0
73,"RULE 114 (BB - world file access)","AND",0
74,"fileAttr(victimHost,'/bin/certutil',-,r,w,x,-,-,-,r,w,x)","LEAF",1
75,"RULE 86 (BB - User is able to use a reverse shell)","AND",0
76,"canAccessFile(victimHost,_,exec,'/bin/df')","OR",0
77,"RULE 102 (BB - A legitimate account can access file)","AND",0
78,"localFileProtection(victimHost,_,exec,'/bin/df')","OR",0
79,"RULE 105 (BB - world file access)","AND",0
80,"worldAccessible(victimHost,exec,'/bin/df')","OR",0
81,"RULE 114 (BB - world file access)","AND",0
82,"fileAttr(victimHost,'/bin/df',-,r,w,x,-,-,-,r,w,x)","LEAF",1
83,"RULE 86 (BB - User is able to use a reverse shell)","AND",0
84,"canAccessFile(victimHost,_,exec,'/bin/find')","OR",0
85,"RULE 102 (BB - A legitimate account can access file)","AND",0
86,"localFileProtection(victimHost,_,exec,'/bin/find')","OR",0
87,"RULE 105 (BB - world file access)","AND",0
88,"worldAccessible(victimHost,exec,'/bin/find')","OR",0
89,"RULE 114 (BB - world file access)","AND",0
90,"fileAttr(victimHost,'/bin/find',-,r,w,x,-,-,-,r,w,x)","LEAF",1
91,"RULE 86 (BB - User is able to use a reverse shell)","AND",0
92,"canAccessFile(victimHost,_,exec,'/bin/groups')","OR",0
93,"RULE 102 (BB - A legitimate account can access file)","AND",0
94,"localFileProtection(victimHost,_,exec,'/bin/groups')","OR",0
95,"RULE 105 (BB - world file access)","AND",0
96,"worldAccessible(victimHost,exec,'/bin/groups')","OR",0
97,"RULE 114 (BB - world file access)","AND",0
98,"fileAttr(victimHost,'/bin/groups',-,r,w,x,-,-,-,r,w,x)","LEAF",1
99,"RULE 86 (BB - User is able to use a reverse shell)","AND",0
100,"RULE 86 (BB - User is able to use a reverse shell)","AND",0
